ID,Parent ID,Requires IDs,Domain,Config Group,Requirement,Description,Primary AC Groups,V1,V1 Justification
NEO-1-001,,NEO-2-001-EDT-01; NEO-2-001-LIC-01; NEO-2-001-LIC-02; NEO-2-001-MODE-01; NEO-2-003; NEO-2-004; NEO-2-005; NEO-2-006; NEO-2-007; NEO-2-008; NEO-2-009,Installation,,Deploy Neo4j standalone,Deliver a single-member Neo4j database ready for client use.,AC-NEO-STANDALONE; AC-NEO-INSTALL,Yes,MVP entry point — single `Neo4j` CR Standalone ([BDR-001]).
NEO-1-002,,NEO-2-002-CSZ-01; NEO-2-002-MODE-01; NEO-2-003; NEO-2-004; NEO-2-005; NEO-2-006; NEO-2-007; NEO-2-008; NEO-2-009; NEO-2-011,Installation,,Deploy Neo4j cluster,Deliver a clustered Neo4j topology with configured members and cluster readiness.,AC-NEO-CLUSTER; AC-NEO-INSTALL,Yes,MVP cluster — per-pool STS + scale ([BDR-002] [BDR-009]); minimal networking/storage.
OP-1-001,,OP-2-001-PKG-01; OP-2-001-PKG-02; OP-2-001-SCOPE-01; OP-2-001-SCOPE-02; OP-2-001-SCOPE-03,Installation,,Install the Neo4j Operator,Install the operator and required Kubernetes resources so it can reconcile Neo4j custom resources.,AC-OP-INSTALL; AC-OP-SCOPE-SINGLE,Yes,MVP — YAML install + single-namespace scope only ([BDR-003]).
OP-1-002,,,Lifecycle,,Reconcile desired state,Continuously reconcile declared custom resources and maintain the expected state.,AC-OP-RECONCILE,Yes,Core operator behavior.
OP-1-003,,OP-2-003-STATUS-01; OP-2-003-STATUS-02,Lifecycle,,Report operator and reconciliation status,"Expose status, conditions, errors, and readiness on managed resources.",AC-OP-STATUS,Yes,MVP — basic conditions only (OP-2-003-STATUS-01).
OP-1-004,,OP-2-004-UPG-01; OP-2-004-UPG-02,Lifecycle,,Upgrade the Neo4j Operator,Support safe upgrade of the operator without disrupting managed Neo4j workloads.,AC-OP-UPGRADE,No,Deferred — operator upgrade workflow post-MVP.
OP-1-005,,OP-2-005-UNINST-01; OP-2-005-UNINST-02,Uninstallation,,Uninstall the Neo4j Operator,Remove operator components while preserving managed data and workloads by default.,AC-OP-UNINSTALL,Yes,MVP — preserve-data uninstall (OP-2-005-UNINST-01).
OP-1-006,,,Security & RBAC,,Manage operator permissions,Create and manage the RBAC required for the selected operator scope.,AC-OP-RBAC,Yes,MVP — RBAC for single-namespace scope ([BDR-003]).
OP-1-007,,,Observability,,Expose operator metrics and logs,"Provide logs and metrics for operator health, reconciliation errors, and operational visibility.",AC-OP-OBSERVABILITY,No,Deferred — operator-level metrics/logs post-MVP.
NEO-2-001-EDT-01,NEO-1-001,,Installation,Edition,Enterprise,Deploy Neo4j Enterprise edition.,AC-NEO-LICENSE,Yes,MVP — Enterprise only (clustering/analytics).
NEO-2-001-LIC-01,NEO-1-001,,Installation,License Mode,Accepted license,User confirms enterprise license agreement.,AC-NEO-LICENSE,Yes,MVP — explicit license accept.
NEO-2-001-LIC-02,NEO-1-001,,Installation,License Mode,Evaluation license,User deploys Enterprise in eval mode.,AC-NEO-LICENSE,No,Deferred — eval license path post-MVP.
NEO-2-001-MODE-01,NEO-1-001,,Installation,Neo4j Deployment Mode,Standalone,Deploy one Neo4j server.,AC-NEO-STANDALONE,Yes,MVP Standalone mode ([BDR-002]).
NEO-2-002-CSZ-01,NEO-1-002,,Installation,Cluster Size,Minimum cluster size,Configure initial minimum number of members required for cluster formation.,AC-NEO-CLUSTER,Yes,MVP — `minimumMembers` formation gate.
NEO-2-002-MODE-01,NEO-1-002,,Installation,Neo4j Deployment Mode,Cluster,Deploy a clustered Neo4j topology.,AC-NEO-CLUSTER,Yes,MVP Cluster mode — primaries + optional analytics/read pools ([BDR-002]).
