helm_path,domain,category,client_need,neo4j_doc_ref,helm_code_refs,k8s_resources,crd_target,aggregation_group,versioning,bdr_id,fr_ids,status
nameOverride,packaging,packaging,Platform teams need predictable Kubernetes resource name prefixes without renaming the Helm release.,https://neo4j.com/docs/operations-manual/current/kubernetes/,_helpers.tpl#neo4j.fullname; release_values.go#NameOverride,All chart objects using neo4j.fullname,N/A,none,safe,,,draft
fullnameOverride,packaging,packaging,Operators need to fully replace the computed Helm resource prefix for naming conventions and collision avoidance.,https://neo4j.com/docs/operations-manual/current/kubernetes/,_helpers.tpl#neo4j.fullname; release_values.go#FullnameOverride,All chart objects using neo4j.fullname,N/A,none,safe,,,draft
disableLookups,packaging,packaging,GitOps and helm template workflows need to skip Helm lookup validation against the live API server.,https://neo4j.com/docs/operations-manual/current/kubernetes/,_helpers.tpl; _secretMounts.tpl; neo4j-auth.yaml; neo4j-imagePullSecret.yaml; _ldap.tpl; _apocCredentials.tpl,None (render-time validation only),N/A,none,safe,,,draft
neo4j.name,neo4j-core,topology,Multi-release cluster installs need a stable logical cluster name shared across Helm releases for discovery and selectors.,https://neo4j.com/docs/operations-manual/current/clustering/,_helpers.tpl#neo4j.name; neo4j-config.yaml; neo4j-loadbalancer.yaml; neo4j-env.yaml,StatefulSet/Services/ConfigMaps labels app={{neo4j.name}},Neo4j.metadata.name,AGG-TOPO-ROLES,breaking,BDR-002; BDR-009,NEO-1-002; NEO-2-002-MODE-01,draft
neo4j.password,neo4j-core,security,Teams need an initial neo4j user password on first install or chart-generated random password in a Secret.,https://neo4j.com/docs/operations-manual/current/configuration/authentication/,_helpers.tpl#neo4j.password; neo4j-auth.yaml; NOTES.txt,Secret *-auth,Neo4j.spec.auth.generatePassword,AGG-AUTH,safe,,NEO-2-004; NEO-3-004-CRED-01,draft
neo4j.passwordFromSecret,neo4j-core,security,Security teams supply initial password via existing Kubernetes Secret instead of plaintext Helm values.,https://neo4j.com/docs/operations-manual/current/configuration/authentication/,_helpers.tpl#neo4j.secretName; neo4j-auth.yaml; neo4j-operations.yaml,Secret reference (existing),Neo4j.spec.auth.passwordSecretRef.name,AGG-AUTH,safe,,NEO-2-004; NEO-3-004-CRED-02,draft
neo4j.edition,neo4j-core,topology,Deployers must declare Community vs Enterprise because clustering and analytics require Enterprise.,https://neo4j.com/docs/operations-manual/current/introduction/#_neo4j_editions,_helpers.tpl#neo4j.isClusterEnabled; _licensing.tpl; neo4j-config.yaml; neo4j-env.yaml,ConfigMap conf selection; env NEO4J_EDITION,Neo4j.spec.edition,AGG-TOPO-ROLES,breaking,BDR-002; BDR-009,NEO-2-001-EDT-01; NEO-1-001; NEO-1-002,draft
neo4j.minimumClusterSize,topology-lifecycle,topology,Production teams need causal cluster quorum — minimum system primaries before cluster formation completes.,https://neo4j.com/docs/operations-manual/current/clustering/,_helpers.tpl#neo4j.isClusterEnabled; neo4j-config.yaml L94-102; neo4j-svc.yaml; neo4j-statefulset.yaml,ConfigMap *-default-config; internals Service,Neo4j.spec.topology.primaries.members; minimumMembers,AGG-TOPO-ROLES,breaking,BDR-002; BDR-009,NEO-1-002; NEO-2-002-CSZ-01; NEO-2-011,draft
neo4j.operations,topology-lifecycle,lifecycle,Cluster admins need automated post-install ENABLE SERVER for members added beyond minimumClusterSize.,https://neo4j.com/docs/operations-manual/current/clustering/,neo4j-operations.yaml; release_values.go#Operations,"Job, ServiceAccount, Role, RoleBinding",Operator-managed scale workflow (deferred),AGG-TOPO-ROLES,deferred,BDR-002; BDR-009,NEO-2-011,draft
neo4j.operations.enableServer,topology-lifecycle,lifecycle,When scaling via additional Helm releases operators need automatic ENABLE SERVER without manual cypher-shell.,https://neo4j.com/docs/operations-manual/current/clustering/,neo4j-operations.yaml L3; release_values.go#Operations.EnableServer,"Job, ServiceAccount, Role, RoleBinding",Operator scale reconciliation (implicit),AGG-TOPO-ROLES,deferred,BDR-002; BDR-009,NEO-2-011,draft
