Test ID,Cloud,Category,Component,Test Scenario,Preconditions,Test Steps,Expected Result,Priority,Automation Candidate,Result (Pass/Fail),P1: MvP,P2: Enhancements,P3: Hardening,Comments,Source TC ID,Requirement IDs,Gap Type,Existing Match,V1/V2 Scope,V1 ID
T0001,AWS,Installation & Upgrade,Helm install operator,Validate Helm install operator on AWS,Cluster and operator installed,Execute workflow for Helm install operator and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0002,AWS,Installation & Upgrade,CRD installation,Validate CRD installation on AWS,Cluster and operator installed,Execute workflow for CRD installation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0003,AWS,Installation & Upgrade,Operator restart recovery,Validate Operator restart recovery on AWS,Cluster and operator installed,Execute workflow for Operator restart recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0004,AWS,Installation & Upgrade,Upgrade operator version,Validate Upgrade operator version on AWS,Cluster and operator installed,Execute workflow for Upgrade operator version and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0005,AWS,Installation & Upgrade,Rollback operator version,Validate Rollback operator version on AWS,Cluster and operator installed,Execute workflow for Rollback operator version and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0006,AWS,Installation & Upgrade,Namespace isolation,Validate Namespace isolation on AWS,Cluster and operator installed,Execute workflow for Namespace isolation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0007,AWS,Installation & Upgrade,RBAC validation,Validate RBAC validation on AWS,Cluster and operator installed,Execute workflow for RBAC validation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0008,AWS,Installation & Upgrade,Multi-cluster deployment,Validate Multi-cluster deployment on AWS,Cluster and operator installed,Execute workflow for Multi-cluster deployment and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0009,AWS,Standalone Deployment,Create standalone instance,Validate Create standalone instance on AWS,Cluster and operator installed,Execute workflow for Create standalone instance and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0010,AWS,Standalone Deployment,Scale storage,Validate Scale storage on AWS,Cluster and operator installed,Execute workflow for Scale storage and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0011,AWS,Standalone Deployment,Secret rotation,Validate Secret rotation on AWS,Cluster and operator installed,Execute workflow for Secret rotation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0012,AWS,Standalone Deployment,Image version upgrade,Validate Image version upgrade on AWS,Cluster and operator installed,Execute workflow for Image version upgrade and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0013,AWS,Standalone Deployment,Resource limits,Validate Resource limits on AWS,Cluster and operator installed,Execute workflow for Resource limits and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0014,AWS,Standalone Deployment,Node failure recovery,Validate Node failure recovery on AWS,Cluster and operator installed,Execute workflow for Node failure recovery and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0015,AWS,Standalone Deployment,PVC retention,Validate PVC retention on AWS,Cluster and operator installed,Execute workflow for PVC retention and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0016,AWS,Standalone Deployment,Config change reconciliation,Validate Config change reconciliation on AWS,Cluster and operator installed,Execute workflow for Config change reconciliation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0017,AWS,Cluster Deployment,3-node cluster creation,Validate 3-node cluster creation on AWS,Cluster and operator installed,Execute workflow for 3-node cluster creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0018,AWS,Cluster Deployment,5-node cluster creation,Validate 5-node cluster creation on AWS,Cluster and operator installed,Execute workflow for 5-node cluster creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0019,AWS,Cluster Deployment,Cluster scale out,Validate Cluster scale out on AWS,Cluster and operator installed,Execute workflow for Cluster scale out and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0020,AWS,Cluster Deployment,Cluster scale in,Validate Cluster scale in on AWS,Cluster and operator installed,Execute workflow for Cluster scale in and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0021,AWS,Cluster Deployment,Rolling restart,Validate Rolling restart on AWS,Cluster and operator installed,Execute workflow for Rolling restart and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0022,AWS,Cluster Deployment,TLS enabled cluster,Validate TLS enabled cluster on AWS,Cluster and operator installed,Execute workflow for TLS enabled cluster and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0023,AWS,Cluster Deployment,Cross-zone scheduling,Validate Cross-zone scheduling on AWS,Cluster and operator installed,Execute workflow for Cross-zone scheduling and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0024,AWS,Cluster Deployment,Split-brain prevention,Validate Split-brain prevention on AWS,Cluster and operator installed,Execute workflow for Split-brain prevention and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0025,AWS,Database CRD,Create database,Validate Create database on AWS,Cluster and operator installed,Execute workflow for Create database and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0026,AWS,Database CRD,Topology changes,Validate Topology changes on AWS,Cluster and operator installed,Execute workflow for Topology changes and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0027,AWS,Database CRD,Initial Cypher seed,Validate Initial Cypher seed on AWS,Cluster and operator installed,Execute workflow for Initial Cypher seed and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0028,AWS,Database CRD,Database deletion,Validate Database deletion on AWS,Cluster and operator installed,Execute workflow for Database deletion and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0029,AWS,Database CRD,ifNotExists behavior,Validate ifNotExists behavior on AWS,Cluster and operator installed,Execute workflow for ifNotExists behavior and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0030,AWS,Database CRD,Wait semantics,Validate Wait semantics on AWS,Cluster and operator installed,Execute workflow for Wait semantics and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0031,AWS,Database CRD,Concurrent database creation,Validate Concurrent database creation on AWS,Cluster and operator installed,Execute workflow for Concurrent database creation and observe reconciliation,Operator converges desired and actual state without errors,Medium,Yes,,,,,,,,Existing,,AWS-followon,
T0032,AWS,Security,Admin secret rotation,Validate Admin secret rotation on AWS,Cluster and operator installed,Execute workflow for Admin secret rotation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0033,AWS,Security,Native auth,Validate Native auth on AWS,Cluster and operator installed,Execute workflow for Native auth and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0034,AWS,Security,Role creation,Validate Role creation on AWS,Cluster and operator installed,Execute workflow for Role creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0035,AWS,Security,User creation,Validate User creation on AWS,Cluster and operator installed,Execute workflow for User creation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0036,AWS,Security,Role binding,Validate Role binding on AWS,Cluster and operator installed,Execute workflow for Role binding and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
T0037,AWS,Security,Privilege reconciliation,Validate Privilege reconciliation on AWS,Cluster and operator installed,Execute workflow for Privilege reconciliation and observe reconciliation,Operator converges desired and actual state without errors,High,Yes,,,,,,,,Existing,,AWS-followon,
