ID,Category,Sub-category,High Level Functional Requirement,Description,Variant Groups,Acceptance Criteria Groups,V1,V1 Justification
OP-001,Operator,Installation,Install the Neo4j Operator,Install the operator and required Kubernetes resources so it can reconcile Neo4j custom resources.,Packaging; Operator Scope,AC-OP-INSTALL; AC-OP-SCOPE,Yes,Required to operate any Neo4j workload.
OP-002,Operator,Lifecycle,Reconcile desired state,Continuously reconcile declared custom resources and maintain the expected state.,Operator Scope,AC-OP-RECONCILE,Yes,Core operator behavior.
OP-003,Operator,Lifecycle,Report operator and reconciliation status,"Expose status, conditions, errors, and readiness on managed resources.",Status Model,AC-OP-STATUS,Yes,Required for supportability and automation.
OP-004,Operator,Lifecycle,Upgrade the Neo4j Operator,Support safe upgrade of the operator without disrupting managed Neo4j workloads.,Packaging; Upgrade Strategy,AC-OP-UPGRADE,Yes,Needed for production lifecycle.
OP-005,Operator,Uninstallation,Uninstall the Neo4j Operator,Remove operator components while preserving managed data and workloads by default.,Uninstall Policy,AC-OP-UNINSTALL,Yes,Required for clean lifecycle management.
OP-006,Operator,Security & RBAC,Manage operator permissions,Create and manage the RBAC required for the selected operator scope.,Operator Scope,AC-OP-RBAC,Yes,Different topologies require different RBAC models.
OP-007,Operator,Observability,Expose operator metrics and logs,"Provide logs and metrics for operator health, reconciliation errors, and operational visibility.",Observability,AC-OP-OBSERVABILITY,Yes,Required for production troubleshooting.
NEO-001,Neo4j,Installation,Deploy Neo4j standalone,"Deploy a single Neo4j instance with configured edition, image, resources, storage, networking, and security.",Neo4j Deployment Mode; Edition; Storage; Cloud Storage; Service Type; Port Combination; Security; Scheduling,AC-NEO-INSTALL; AC-NEO-STANDALONE; AC-NEO-NETWORKING,Yes,Minimal Neo4j deployment mode.
NEO-002,Neo4j,Installation,Deploy Neo4j cluster,"Deploy a Neo4j cluster with configurable members, discovery, services, and cluster readiness.",Neo4j Deployment Mode; Cluster Size; Storage; Cloud Storage; Networking; Scheduling; Security,AC-NEO-INSTALL; AC-NEO-CLUSTER,Yes,Required for HA production use cases.
NEO-003,Neo4j,Configuration,Configure Neo4j runtime settings,"Apply Neo4j configuration, JVM settings, environment variables, and optional APOC configuration.",Neo4j Config; APOC; JVM,AC-NEO-CONFIG,Yes,Required to cover current Helm chart configuration scope.
NEO-004,Neo4j,Security,Configure authentication and secrets,"Manage initial password, existing password secret, secret mounts, image pull secrets, and sensitive configuration.",Credentials; Secrets; Image Pull Secrets,AC-NEO-SECRETS,Yes,Required for secure deployment.
NEO-005,Neo4j,Security,Configure TLS / SSL,"Configure TLS for Bolt, HTTPS, and cluster communication, including cert mounts and reload behavior.",TLS Mode,AC-NEO-TLS,Yes,Required for production security.
NEO-006,Neo4j,Storage,Configure persistent storage,"Provision or bind volumes for data and optional volumes for backups, logs, metrics, import, and licenses.",Storage; Volume Role,AC-NEO-STORAGE,Yes,Core database persistence requirement.
NEO-007,Neo4j,Networking,Expose Neo4j services,"Configure internal and external services for Bolt, HTTP, HTTPS, backup, admin, and cluster internals.",Service Type; Ports,AC-NEO-NETWORKING,Yes,Required for applications and operations access.
NEO-008,Neo4j,Scheduling,Control pod scheduling,"Configure node selectors, affinity, anti-affinity, tolerations, topology spread, priority class, service account, and graceful shutdown.",Scheduling,AC-NEO-SCHEDULING,Yes,Required for production placement and resilience.
NEO-009,Neo4j,Health Management,Manage health probes,"Configure startup, readiness, and liveness probes appropriate for Neo4j startup, recovery, and cluster formation.",Probe Profile,AC-NEO-PROBES,Yes,Required for safe Kubernetes lifecycle behavior.
NEO-010,Neo4j,Lifecycle,Apply configuration changes safely,Detect configuration changes and apply them through controlled restarts or rolling updates.,Restart Strategy; Deployment Mode,AC-NEO-CONFIG-CHANGE,Yes,Required for day-2 operations.
NEO-011,Neo4j,Lifecycle,Scale Neo4j cluster,Add or remove cluster members safely and enable servers when required.,Cluster Size; Server Enablement,AC-NEO-SCALE,Yes,Required for cluster lifecycle management.
NEO-012,Neo4j,Upgrade,Upgrade Neo4j version,Upgrade Neo4j image/version safely with validation and rollback considerations.,Upgrade Strategy; Deployment Mode,AC-NEO-UPGRADE,Yes,Required for production lifecycle.
NEO-013,Neo4j,Backup,Run backups,Support on-demand and scheduled backups with configurable backup storage and service exposure.,Backup Mode; Backup Storage; Schedule,AC-NEO-BACKUP,Yes,Required for production recoverability.
NEO-014,Neo4j,Restore,Restore from backup or seed,"Restore Neo4j from a backup or seed URI, including optional secret mounts for cloud storage.",Restore Mode; Backup Storage; Secrets,AC-NEO-RESTORE,Yes,Required for disaster recovery and environment cloning.
NEO-015,Neo4j,Monitoring,Expose Neo4j metrics,Enable metrics and ServiceMonitor integration when Prometheus Operator is available.,Monitoring Mode,AC-NEO-MONITORING,Yes,Required for production observability.
NEO-016,Neo4j,Logging,Configure Neo4j logging,"Configure server logs, user logs, query logs, HTTP logs, security logs, and log storage.",Logging Mode; Volume Role,AC-NEO-LOGGING,Yes,Required for supportability.
NEO-017,Neo4j,Maintenance,Run maintenance operations,"Support offline maintenance mode and maintenance jobs such as dump/load, consistency checks, and backup verification.",Maintenance Mode; Job Type,AC-NEO-MAINTENANCE,No,"Advanced day-2 capability, can be phased after core lifecycle."
NEO-018,Neo4j,Uninstallation,Uninstall Neo4j workload,Delete Neo4j Kubernetes resources while preserving PVCs by default and optionally cleaning up services/jobs/PVCs.,Uninstall Policy,AC-NEO-UNINSTALL,Yes,Required for lifecycle completeness.
