AC Group,Acceptance Criterion ID,Acceptance Criterion,Applies To
AC-OP-INSTALL,AC-OP-INSTALL-001,Operator CRDs are installed and available through the Kubernetes API.,OP-001
AC-OP-INSTALL,AC-OP-INSTALL-002,Operator deployment is created in the target namespace.,OP-001
AC-OP-INSTALL,AC-OP-INSTALL-003,Operator pod reaches Running and Ready state.,OP-001
AC-OP-INSTALL,AC-OP-INSTALL-004,Operator status reports Success / Installed.,OP-001
AC-PACKAGING-HELM,AC-PACKAGING-HELM-001,Helm install succeeds with default values.,OP-001
AC-PACKAGING-HELM,AC-PACKAGING-HELM-002,Helm upgrade preserves existing configuration and running workloads.,OP-004
AC-OP-SCOPE-SINGLE,AC-OP-SCOPE-SINGLE-001,Operator watches only its own namespace.,OP-001; OP-002; OP-006
AC-OP-SCOPE-SINGLE,AC-OP-SCOPE-SINGLE-002,Operator reconciles Neo4j CRs created in its namespace.,OP-002
AC-OP-SCOPE-SINGLE,AC-OP-SCOPE-SINGLE-003,Operator does not reconcile Neo4j CRs created in another namespace.,OP-002
AC-OP-SCOPE-SINGLE,AC-OP-SCOPE-SINGLE-004,RBAC is namespace-scoped and does not require cluster-wide permissions except CRD access.,OP-006
AC-OP-SCOPE-MULTI,AC-OP-SCOPE-MULTI-001,Operator watches only the configured namespaces.,OP-001; OP-002
AC-OP-SCOPE-MULTI,AC-OP-SCOPE-MULTI-002,Operator reconciles Neo4j CRs in each configured namespace.,OP-002
AC-OP-SCOPE-MULTI,AC-OP-SCOPE-MULTI-003,Operator ignores non-configured namespaces.,OP-002
AC-OP-SCOPE-MULTI,AC-OP-SCOPE-MULTI-004,RBAC grants access only to configured namespaces.,OP-006
AC-OP-SCOPE-CLUSTER,AC-OP-SCOPE-CLUSTER-001,Operator watches Neo4j CRs across all namespaces.,OP-001; OP-002
AC-OP-SCOPE-CLUSTER,AC-OP-SCOPE-CLUSTER-002,Operator reconciles Neo4j CRs across the cluster.,OP-002
AC-OP-SCOPE-CLUSTER,AC-OP-SCOPE-CLUSTER-003,ClusterRole and ClusterRoleBinding are created and validated.,OP-006
AC-OP-RECONCILE,AC-OP-RECONCILE-001,"Operator creates, updates, and deletes child resources to match the CR desired state.",OP-002
