AC Group,Acceptance Criterion ID,Acceptance Criterion,Applies To,V1,V1 Justification
AC-OP-INSTALL,AC-OP-INSTALL-001,Operator CRDs are installed and available through the Kubernetes API.,OP-1-001; OP-2-001-PKG-01,Yes,"MVP — verifies V1 FR(s): OP-1-001, OP-2-001-PKG-01"
AC-OP-INSTALL,AC-OP-INSTALL-002,Operator deployment is created in the target namespace.,OP-1-001; OP-2-001-PKG-01,Yes,"MVP — verifies V1 FR(s): OP-1-001, OP-2-001-PKG-01"
AC-OP-INSTALL,AC-OP-INSTALL-003,Operator pod reaches Running and Ready state.,OP-1-001; OP-2-001-PKG-01,Yes,"MVP — verifies V1 FR(s): OP-1-001, OP-2-001-PKG-01"
AC-OP-INSTALL,AC-OP-INSTALL-004,Operator status reports Success / Installed.,OP-1-001; OP-2-001-PKG-01,Yes,"MVP — verifies V1 FR(s): OP-1-001, OP-2-001-PKG-01"
AC-PACKAGING-HELM,AC-PACKAGING-HELM-001,Helm install succeeds with default values.,OP-2-001-PKG-02,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-PACKAGING-HELM,AC-PACKAGING-HELM-002,Helm upgrade preserves existing configuration and running workloads.,OP-2-001-PKG-02; OP-1-004,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-OP-SCOPE-SINGLE,AC-OP-SCOPE-SINGLE-001,Operator watches only its own namespace.,OP-2-001-SCOPE-01,Yes,MVP — verifies V1 FR(s): OP-2-001-SCOPE-01
AC-OP-SCOPE-SINGLE,AC-OP-SCOPE-SINGLE-002,Operator reconciles Neo4j CRs created in its namespace.,OP-2-001-SCOPE-01; OP-1-002,Yes,"MVP — verifies V1 FR(s): OP-2-001-SCOPE-01, OP-1-002"
AC-OP-SCOPE-SINGLE,AC-OP-SCOPE-SINGLE-003,Operator does not reconcile Neo4j CRs created in another namespace.,OP-2-001-SCOPE-01; OP-1-002,Yes,"MVP — verifies V1 FR(s): OP-2-001-SCOPE-01, OP-1-002"
AC-OP-SCOPE-SINGLE,AC-OP-SCOPE-SINGLE-004,RBAC is namespace-scoped and does not require cluster-wide permissions except CRD access.,OP-2-001-SCOPE-01; OP-1-006,Yes,"MVP — verifies V1 FR(s): OP-2-001-SCOPE-01, OP-1-006"
AC-OP-SCOPE-MULTI,AC-OP-SCOPE-MULTI-001,Operator watches only the configured namespaces.,OP-2-001-SCOPE-02,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-OP-SCOPE-MULTI,AC-OP-SCOPE-MULTI-002,Operator reconciles Neo4j CRs in each configured namespace.,OP-2-001-SCOPE-02; OP-1-002,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-OP-SCOPE-MULTI,AC-OP-SCOPE-MULTI-003,Operator ignores non-configured namespaces.,OP-2-001-SCOPE-02; OP-1-002,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-OP-SCOPE-MULTI,AC-OP-SCOPE-MULTI-004,RBAC grants access only to configured namespaces.,OP-2-001-SCOPE-02; OP-1-006,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-OP-SCOPE-CLUSTER,AC-OP-SCOPE-CLUSTER-001,Operator watches Neo4j CRs across all namespaces.,OP-2-001-SCOPE-03,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-OP-SCOPE-CLUSTER,AC-OP-SCOPE-CLUSTER-002,Operator reconciles Neo4j CRs across the cluster.,OP-2-001-SCOPE-03; OP-1-002,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-OP-SCOPE-CLUSTER,AC-OP-SCOPE-CLUSTER-003,ClusterRole and ClusterRoleBinding are created and validated.,OP-2-001-SCOPE-03; OP-1-006,No,Deferred / out of V1 MVP scope (see 01-functional_requirements.csv)
AC-OP-RECONCILE,AC-OP-RECONCILE-001,"Operator creates, updates, and deletes child resources to match the CR desired state.",OP-1-002,Yes,MVP — verifies V1 FR(s): OP-1-002
AC-OP-RECONCILE,AC-OP-RECONCILE-002,Manual drift on managed resources is detected and corrected.,OP-1-002,Yes,MVP — verifies V1 FR(s): OP-1-002
AC-OP-STATUS,AC-OP-STATUS-001,"CR status exposes Ready, Reconciling, Error, and reason/message fields.",OP-2-003-STATUS-01,Yes,MVP — verifies V1 FR(s): OP-2-003-STATUS-01
AC-OP-STATUS,AC-OP-STATUS-002,Errors are surfaced in CR conditions without requiring log inspection.,OP-2-003-STATUS-01,Yes,MVP — verifies V1 FR(s): OP-2-003-STATUS-01
